#Instance Type,vCPU,Memory (GB),Storage,Processor,Network Performance (Gbps),Dedicated EBS Bandwidth (Mbps) ,GPUs (GB),Memory GPU (GB),P2P Between GPUs,FPGAs,Limits (Region: South America – São Paulo)
a1.medium,1,2,EBS-Only,AWS_Graviton_64bit,<10,not-defined,No Support,No Support,No Support,No Support,0
a1.large,2,4,EBS-Only,AWS_Graviton_64bit,<10,not-defined,No Support,No Support,No Support,No Support,0
a1.xlarge,4,8,EBS-Only,AWS_Graviton_64bit,<10,not-defined,No Support,No Support,No Support,No Support,0
a1.2xlarge,8,16,EBS-Only,AWS_Graviton_64bit,<10,not-defined,No Support,No Support,No Support,No Support,0
a1.4xlarge,16,32,EBS-Only,AWS_Graviton_64bit,<10,not-defined,No Support,No Support,No Support,No Support,0
t1.micro,1,0.613,EBS-Only,Intel_Xeon,VeryLow,not-defined,No Support,No Support,No Support,No Support,20
t2.nano,1,0.5,EBS-Only,Intel_Xeon_3.3GHz,Low,not-defined,No Support,No Support,No Support,No Support,20
t2.micro,1,1,EBS-Only,Intel_Xeon_3.3GHz,LowToModerate,not-defined,No Support,No Support,No Support,No Support,5
t2.small,1,2,EBS-Only,Intel_Xeon_3.3GHz,LowToModerate,not-defined,No Support,No Support,No Support,No Support,20
t2.medium,2,4,EBS-Only,Intel_Xeon_3.3GHz,LowToModerate,not-defined,No Support,No Support,No Support,No Support,20
t2.large,2,8,EBS-Only,Intel_Xeon_3.0GHz,LowToModerate,not-defined,No Support,No Support,No Support,No Support,20
t2.xlarge,4,16,EBS-Only,Intel_Xeon_3.0GHz,Moderate,not-defined,No Support,No Support,No Support,No Support,5
t2.2xlarge,8,32,EBS-Only,Intel_Xeon_3.0GHz,Moderate,not-defined,No Support,No Support,No Support,No Support,5
t3.nano,2,0.5,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,1
t3.micro,2,1,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,1
t3.small,2,2,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3.medium,2,4,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3.large,2,8,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3.xlarge,4,16,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3.2xlarge,8,32,EBS-Only,Intel_Xeon_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.nano,2,0.5,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.micro,2,1,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.small,2,2,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.medium,2,4,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.large,2,8,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.xlarge,4,16,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
t3a.2xlarge,8,32,EBS-Only,AMD_EPYC_7000_2.5GHz,<5,not-defined,No Support,No Support,No Support,No Support,0
m1.small,1,1.7,1x160-HDD,Intel_Xeon,Low,not-defined,No Support,No Support,No Support,No Support,5
m1.medium,1,3.75,1x410-HDD,Intel_Xeon,Moderate,not-defined,No Support,No Support,No Support,No Support,5
m1.large,2,7.5,2x420-HDD,Intel_Xeon,Moderate,not-defined,No Support,No Support,No Support,No Support,5
m1.xlarge,4,15,4x420-HDD,Intel_Xeon,High,not-defined,No Support,No Support,No Support,No Support,5
m3.medium,1,3.75,1x4-SSD-NVMe,Intel_Xeon,Moderate,not-defined,No Support,No Support,No Support,No Support,5
m3.large,2,7.5,1x32-SSD-NVMe,Intel_Xeon,Moderate,not-defined,No Support,No Support,No Support,No Support,5
m3.xlarge,4,15,2x40-SSD-NVMe,Intel_Xeon,High,not-defined,No Support,No Support,No Support,No Support,3
m3.2xlarge,8,30,2x80-SSD-NVMe,Intel_Xeon,High,not-defined,No Support,No Support,No Support,No Support,1
m4.large,2,8,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,Moderate,450,No Support,No Support,No Support,No Support,20
m4.xlarge,4,16,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,High,750,No Support,No Support,No Support,No Support,10
m4.2xlarge,8,32,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,High,1000,No Support,No Support,No Support,No Support,3
m4.4xlarge,16,64,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,High,2000,No Support,No Support,No Support,No Support,0
m4.10xlarge,40,160,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,10,4000,No Support,No Support,No Support,No Support,0
m4.16xlarge,64,256,EBS-Only,Intel_Xeon_E5-2676_v3_Haswell_2.4GHz,25,10000,No Support,No Support,No Support,No Support,0
m5.large,2,8,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,1
m5.xlarge,4,16,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,1
m5.2xlarge,8,32,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,1
m5.4xlarge,16,64,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,<10,3500,No Support,No Support,No Support,No Support,0
m5.12xlarge,48,192,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,10,7000,No Support,No Support,No Support,No Support,0
m5.24xlarge,96,384,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,25,14000,No Support,No Support,No Support,No Support,0
m5.metal,96,384,EBS-Only,Intel_Xeon_Platinum_8175_3.1GHz,25,14000,No Support,No Support,No Support,No Support,0
m5d.large,2,8,1x75-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,0
m5d.xlarge,4,16,1x150-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,0
m5d.2xlarge,8,32,1x300-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,<10,<3500,No Support,No Support,No Support,No Support,0
m5d.4xlarge,16,64,2x300-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,<10,3500,No Support,No Support,No Support,No Support,0
m5d.12xlarge,48,192,2x900-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,10,7000,No Support,No Support,No Support,No Support,0
m5d.24xlarge,96,384,4x900-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,25,14000,No Support,No Support,No Support,No Support,0
m5d.metal,96,384,4x900-SSD-NVMe,Intel_Xeon_Platinum_8175_3.1GHz,25,14000,No Support,No Support,No Support,No Support,0
m5a.large,2,8,EBS-Only,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
m5a.xlarge,4,16,EBS-Only,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
m5a.2xlarge,8,32,EBS-Only,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
m5a.4xlarge,16,64,EBS-Only,AMD_EPYC_7000_2.5GHz,<10,2120,No Support,No Support,No Support,No Support,0
m5a.12xlarge,48,192,EBS-Only,AMD_EPYC_7000_2.5GHz,10,5000,No Support,No Support,No Support,No Support,0
m5a.24xlarge,96,384,EBS-Only,AMD_EPYC_7000_2.5GHz,20,10000,No Support,No Support,No Support,No Support,0
m5ad.large,2,8,1x75-SSD-NVMe,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
m5ad.xlarge,4,16,1x150-SSD-NVMe,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
m5ad.2xlarge,8,32,1x300-SSD-NVMe,AMD_EPYC_7000_2.5GHz,<10,<2120,No Support,No Support,No Support,No Support,0
